cycle,capacity,fade_rate,fade_accel,rolling_std,relative_cap,cumul_fade,cell_id,dataset,group
1,1.000035961671981,,,0.0006237946404821,1.0,0.0,D1_Qual_1,Dataset1,Qualified
2,0.9997075385430422,-0.0003284231289387,,0.0007298047994937,0.9996715886812814,0.0003284113187186,D1_Qual_1,Dataset1,Qualified
3,0.999366546062938,-0.0003409924801042,-1.2569351165447884e-05,0.0008079490612757,0.9993306084633958,0.0006693915366041,D1_Qual_1,Dataset1,Qualified
4,0.9989652000164068,-0.0004013460465311,-6.035356642697387e-05,0.0008710959777263,0.9989292768494206,0.0010707231505794,D1_Qual_1,Dataset1,Qualified
5,0.9984442498148204,-0.0005209502015864,-0.0001196041550552,0.0009473252320785,0.9984083453814008,0.0015916546185993,D1_Qual_1,Dataset1,Qualified
6,0.998151547081469,-0.0002927027333512,0.0002282474682352,0.0010408011678981,0.9981156531737504,0.0018843468262494,D1_Qual_1,Dataset1,Qualified
7,0.997902480907282,-0.0002490661741869,4.3636559164284e-05,0.001052006328535,0.9978665959560776,0.0021334040439224,D1_Qual_1,Dataset1,Qualified
8,0.9976764393946445,-0.0002260415126376,2.3024661549353453e-05,0.001070181931221,0.9976405625719784,0.0023594374280216,D1_Qual_1,Dataset1,Qualified
9,0.9973316898964132,-0.0003447494982312,-0.0001187079855936,0.0010980412256009,0.9972958254710697,0.0027041745289303,D1_Qual_1,Dataset1,Qualified
10,0.996930343849882,-0.0004013460465311,-5.659654829992533e-05,0.0011339220670283,0.9968944938570944,0.0031055061429057,D1_Qual_1,Dataset1,Qualified
11,0.9964488940407144,-0.0004814498091676,-8.010376263645202e-05,0.0011919549192289,0.996413061361044,0.0035869386389558,D1_Qual_1,Dataset1,Qualified
12,0.9960141139796576,-0.0004347800610566,4.666974811096125e-05,0.0012506161833802,0.9959782969348432,0.0040217030651568,D1_Qual_1,Dataset1,Qualified
13,0.9955560335126016,-0.000458080467056,-2.330040599940464e-05,0.0012791529689691,0.9955202329405342,0.0044797670594658,D1_Qual_1,Dataset1,Qualified
14,0.9951484832159524,-0.0004075502966492,5.053017040679286e-05,0.0012652994509043,0.995112697299548,0.0048873027004521,D1_Qual_1,Dataset1,Qualified
15,0.9947786409727988,-0.0003698422431535,3.770805349578854e-05,0.0012339105836971,0.9947428683560616,0.0052571316439383,D1_Qual_1,Dataset1,Qualified
16,0.9943164243389976,-0.0004622166338013,-9.237439064779808e-05,0.0011924562253537,0.9942806683437456,0.0057193316562544,D1_Qual_1,Dataset1,Qualified
17,0.993959128468305,-0.0003572958706924,0.0001049207631088,0.0011813093216266,0.993923385321548,0.0060766146784521,D1_Qual_1,Dataset1,Qualified
18,0.9936292691703572,-0.0003298592979478,2.74365727446213e-05,0.001195676230489,0.9935935378854652,0.0064064621145346,D1_Qual_1,Dataset1,Qualified
19,0.9932566694827069,-0.0003725996876503,-4.2740389702533577e-05,0.0012208003055406,0.9932209515966408,0.006779048403359,D1_Qual_1,Dataset1,Qualified
20,0.9928986153147776,-0.0003580541679291,1.454551972124296e-05,0.0012416052454236,0.9928629103044754,0.0071370896955246,D1_Qual_1,Dataset1,Qualified
21,0.9924071008331964,-0.0004915144815814,-0.0001334603136523,0.001257577753159,0.9923714134979408,0.0076285865020592,D1_Qual_1,Dataset1,Qualified
22,0.9918920102011658,-0.0005150906320304,-2.357615044901173e-05,0.0012703828765184,0.9918563413887646,0.0081436586112354,D1_Qual_1,Dataset1,Qualified
23,0.9914701211931324,-0.0004218890080333,9.320162399717448e-05,0.0012678629550236,0.9914344675520198,0.0085655324479801,D1_Qual_1,Dataset1,Qualified
24,0.9910828381135356,-0.0003872830795967,3.460592843651522e-05,0.00125985134344,0.9910471983992692,0.0089528016007307,D1_Qual_1,Dataset1,Qualified
25,0.9906604665527152,-0.0004223715608203,-3.508848122357744e-05,0.0012425100119043,0.9906248420270902,0.0093751579729097,D1_Qual_1,Dataset1,Qualified
26,0.9903260574713476,-0.0003344090813678,8.796247945253022e-05,0.0012121122842024,0.9902904449711996,0.0097095550288004,D1_Qual_1,Dataset1,Qualified
27,0.9899731735118502,-0.0003528839594972,-1.847487812944859e-05,0.0011846963053058,0.9899375737015432,0.0100624262984568,D1_Qual_1,Dataset1,Qualified
28,0.9895238479310722,-0.000449325580778,-9.644162128075172e-05,0.0011714911939904,0.9894882642786832,0.0105117357213168,D1_Qual_1,Dataset1,Qualified
29,0.9891225708206534,-0.0004012771104188,4.8048470359218776e-05,0.001151290889252,0.9890870015983412,0.0109129984016587,D1_Qual_1,Dataset1,Qualified
30,0.9887148826517792,-0.000407688168874,-6.411058455224605e-06,0.0011313102752977,0.9886793280900882,0.0113206719099118,D1_Qual_1,Dataset1,Qualified
31,0.9883703399618852,-0.000344542689894,6.3145478980009e-05,0.0011152236004098,0.9883347977900798,0.0116652022099201,D1_Qual_1,Dataset1,Qualified
32,0.988020420255222,-0.0003499197066632,-5.37701676917024e-06,0.0010869808647433,0.9879848906666618,0.0120151093333381,D1_Qual_1,Dataset1,Qualified
33,0.9877204792300665,-0.0002999410251557,4.997868150746765e-05,0.0010566651404777,0.987684960427499,0.012315039572501,D1_Qual_1,Dataset1,Qualified
